symbol,open,close,low,high,volume,date
IVS,4200.0,4500.0,4100.0,4500.0,4500.0,2022-11-24
KBC,16350.000000000002,16750.0,16300.0,16850.0,6127900.0,2022-11-24
KDM,9900.0,9900.0,9900.0,9900.0,0.0,2022-11-24
KHS,13300.0,13300.0,13300.0,13300.0,200.0,2022-11-24
KKC,5500.0,5500.0,5300.0,5500.0,2200.0,2022-11-24
KLF,700.0,700.0,700.0,700.0,0.0,2022-11-24
KMT,8400.0,8400.0,8400.0,8400.0,0.0,2022-11-24
KSD,5700.0,5500.0,5500.0,5800.0,44400.0,2022-11-24
KSF,70000.0,70200.0,69500.0,70200.0,114800.0,2022-11-24
KSQ,1500.0,1500.0,1500.0,1600.0,109900.0,2022-11-24
KST,12500.0,12500.0,12500.0,12500.0,0.0,2022-11-24
KTS,14000.0,14000.0,12700.0,14000.0,7300.0,2022-11-24
KTT,6300.0,6300.0,6300.0,6300.0,0.0,2022-11-24
KVC,1400.0,1400.0,1300.0,1500.0,284300.0,2022-11-24
L14,30000.0,35400.0,30000.0,35400.0,514100.0,2022-11-24
L18,17400.0,20300.0,17400.0,20500.0,67300.0,2022-11-24
L35,4400.0,4400.0,4400.0,4400.0,0.0,2022-11-24
L40,17000.0,17000.0,17000.0,17000.0,0.0,2022-11-24
L43,5300.0,5300.0,5300.0,5300.0,0.0,2022-11-24
L61,6000.0,6000.0,6000.0,6000.0,0.0,2022-11-24
L62,3600.0,3600.0,3600.0,3600.0,1300.0,2022-11-24
LAS,7200.0,7100.0,6900.0,7200.0,123500.0,2022-11-24
LBE,36800.0,36800.0,36800.0,36800.0,0.0,2022-11-24
LCD,26700.0,26700.0,26700.0,26700.0,0.0,2022-11-24
LCS,2200.0,2200.0,2200.0,2200.0,0.0,2022-11-24
LDP,4400.0,4400.0,4400.0,4600.0,42700.0,2022-11-24
LHC,56000.0,53500.0,52900.0,56000.0,23400.0,2022-11-24
LIG,3100.0,3200.0,3000.0,3300.0,324900.0,2022-11-24
LM7,2200.0,2200.0,2100.0,2200.0,2000.0,2022-11-24
LPB,9950.0,9990.0,9550.0,10050.0,8952400.0,2022-11-24
LPB,9950.0,9990.0,9550.0,10050.0,8952400.0,2022-11-24
LPB,9950.0,9990.0,9550.0,10050.0,8952400.0,2022-11-24
LPB,9950.0,9990.0,9550.0,10050.0,8952400.0,2022-11-24
LUT,1900.0,1900.0,1900.0,1900.0,0.0,2022-11-24
MAC,7000.0,6600.0,6100.0,7000.0,5100.0,2022-11-24
MAS,32500.0,32500.0,32500.0,32500.0,400.0,2022-11-24
MBG,3900.0,3900.0,3700.0,4000.0,726100.0,2022-11-24
MBS,10900.0,11200.0,10500.0,11400.0,1255200.0,2022-11-24
MCC,10200.0,10200.0,10200.0,10200.0,0.0,2022-11-24
MCF,7600.0,7600.0,7600.0,7600.0,2100.0,2022-11-24
MCO,4000.0,4200.0,4000.0,4200.0,22900.0,2022-11-24
MDC,6100.0,6200.0,6000.0,6500.0,2900.0,2022-11-24
MED,21500.0,22300.0,21500.0,22300.0,7400.0,2022-11-24
MEL,10700.0,10700.0,10700.0,10700.0,100.0,2022-11-24
MHL,6000.0,6000.0,6000.0,6000.0,0.0,2022-11-24
MIM,4200.0,4200.0,4200.0,4200.0,0.0,2022-11-24
MKV,9500.0,9500.0,9500.0,9500.0,0.0,2022-11-24
MML,39000.0,40200.0,39000.0,40200.0,5000.0,2022-11-24
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-24
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-24
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-24
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-24
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-24
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-24
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-24
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-24
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-24
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-24
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-24
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-24
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-24
MSR,10100.0,10300.0,9900.0,10300.0,109300.0,2022-11-24
MST,4400.0,4200.0,4200.0,4400.0,1292500.0,2022-11-24
MVB,19000.0,19000.0,19000.0,19000.0,0.0,2022-11-24
NAG,11000.0,11000.0,10900.0,11000.0,191100.0,2022-11-24
NAP,11600.0,11600.0,11600.0,11600.0,0.0,2022-11-24
NBC,7100.0,6900.0,6600.0,7100.0,85900.0,2022-11-24
NBP,11500.0,11500.0,11500.0,11500.0,0.0,2022-11-24
NBW,18000.0,18000.0,18000.0,18000.0,1900.0,2022-11-24
NDN,6100.0,6600.0,6100.0,6600.0,116600.0,2022-11-24
NDX,5600.0,5800.0,5600.0,5800.0,400.0,2022-11-24
NET,43500.0,43500.0,43500.0,43500.0,0.0,2022-11-24
NFC,10100.0,10100.0,10100.0,10100.0,0.0,2022-11-24
NHC,29000.0,29000.0,29000.0,29000.0,0.0,2022-11-24
NRC,5000.0,5000.0,5000.0,5000.0,35800.0,2022-11-24
NSH,3800.0,3900.0,3800.0,4100.0,81800.0,2022-11-24
NST,6200.0,6200.0,6200.0,6200.0,0.0,2022-11-24
NTH,45000.0,45000.0,45000.0,45000.0,0.0,2022-11-24
NTP,30800.0,31300.0,30700.0,31300.0,24500.0,2022-11-24
NVB,16200.0,15100.0,15100.0,16200.0,7200.0,2022-11-24
NVL,21950.0,21950.0,21950.0,21950.0,3276100.0,2022-11-24
OCH,7000.0,7000.0,7000.0,7000.0,0.0,2022-11-24
ONE,6200.0,6400.0,6200.0,6400.0,2300.0,2022-11-24
PBP,10700.0,10100.0,10100.0,11000.0,31200.0,2022-11-24
PCE,26700.0,26700.0,26700.0,26700.0,0.0,2022-11-24
PCG,6500.0,7300.0,6500.0,7300.0,11200.0,2022-11-24
PCH,4300.0,4000.0,3900.0,4300.0,3200.0,2022-11-24
PCT,5600.0,6000.0,5600.0,6000.0,6000.0,2022-11-24
PDB,10000.0,10200.0,9900.0,10500.0,8700.0,2022-11-24
PEN,10800.0,10800.0,10800.0,10800.0,0.0,2022-11-24
PGN,6900.0,7200.0,6700.0,7200.0,115500.0,2022-11-24
PGS,26500.0,26000.0,26000.0,27000.0,4500.0,2022-11-24
PGT,2900.0,3000.0,2900.0,3100.0,2400.0,2022-11-24
PHN,36700.0,36700.0,36700.0,36700.0,0.0,2022-11-24
PIA,25300.0,25300.0,25300.0,25300.0,0.0,2022-11-24
PIC,15300.0,15300.0,15300.0,15300.0,0.0,2022-11-24
PJC,23000.0,23000.0,23000.0,23000.0,0.0,2022-11-24
PLC,16700.0,16700.0,16500.0,17200.0,120700.0,2022-11-24
PMB,9800.0,9800.0,9800.0,9900.0,900.0,2022-11-24
PMC,68000.0,66000.0,66000.0,68000.0,1100.0,2022-11-24
