symbol,open,close,low,high,volume,date
PSI,5000.0,4400.0,4300.0,5000.0,61400.0,2022-11-25
PSW,7200.0,7300.0,7200.0,7500.0,4700.0,2022-11-25
PTD,16000.0,16000.0,16000.0,16000.0,0.0,2022-11-25
PTI,27700.0,27700.0,27700.0,27700.0,100.0,2022-11-25
PTS,9900.0,9900.0,9900.0,9900.0,200.0,2022-11-25
PV2,2000.0,2000.0,2000.0,2100.0,26400.0,2022-11-25
PVB,10300.0,10500.0,10300.0,10700.0,37100.0,2022-11-25
PVC,10300.0,9800.0,9400.0,10400.0,1340400.0,2022-11-25
PVG,7000.0,6900.0,6900.0,7100.0,22900.0,2022-11-25
PVI,38100.0,39900.0,38100.0,40000.0,1700.0,2022-11-25
PVL,2100.0,2100.0,1900.0,2100.0,644800.0,2022-11-25
PVS,18000.0,18900.0,17800.0,19100.0,5004400.0,2022-11-25
QHD,36500.0,36500.0,36500.0,36500.0,0.0,2022-11-25
QST,16000.0,16000.0,16000.0,16000.0,0.0,2022-11-25
QTC,14000.0,14000.0,14000.0,14000.0,0.0,2022-11-25
RCL,13000.0,13200.0,13000.0,13200.0,5000.0,2022-11-25
S55,50300.0,50300.0,50300.0,50300.0,0.0,2022-11-25
S99,6600.0,6400.0,6300.0,6600.0,105100.0,2022-11-25
SAF,50000.0,50000.0,50000.0,50000.0,10700.0,2022-11-25
SBT,10800.0,11000.0,10650.0,11000.0,1810800.0,2022-11-25
SCG,67600.0,67400.0,66900.0,67600.0,230800.0,2022-11-25
SCI,7900.0,7700.0,7500.0,7900.0,26100.0,2022-11-25
SD4,3400.0,3400.0,3400.0,3400.0,400.0,2022-11-25
SD5,6900.0,6600.0,6400.0,6900.0,52500.0,2022-11-25
SD6,2500.0,2500.0,2300.0,2500.0,17800.0,2022-11-25
SD9,6100.0,5800.0,5800.0,6100.0,9000.0,2022-11-25
SDA,6700.0,7100.0,6700.0,7200.0,122000.0,2022-11-25
SDC,8300.0,8300.0,8300.0,8300.0,0.0,2022-11-25
SDG,21000.0,21000.0,21000.0,21000.0,0.0,2022-11-25
SDN,37800.0,37800.0,37800.0,37800.0,1000.0,2022-11-25
SDT,2900.0,3000.0,2800.0,3000.0,300.0,2022-11-25
SDU,31500.0,31500.0,31500.0,31500.0,0.0,2022-11-25
SEB,52000.0,52000.0,52000.0,52000.0,0.0,2022-11-25
SED,15100.0,16200.0,15000.0,16200.0,5700.0,2022-11-25
SFN,22500.0,22500.0,22500.0,22500.0,0.0,2022-11-25
SGC,91000.0,91000.0,91000.0,91000.0,0.0,2022-11-25
SGD,27000.0,27000.0,27000.0,27000.0,0.0,2022-11-25
SGH,29000.0,28000.0,28000.0,29000.0,300.0,2022-11-25
SHE,10000.0,10000.0,10000.0,10000.0,1200.0,2022-11-25
SHN,8600.0,7600.0,7200.0,8600.0,5100.0,2022-11-25
SHS,6700.0,7100.0,6500.0,7100.0,11132900.0,2022-11-25
SIC,20000.0,20000.0,19800.0,20000.0,5800.0,2022-11-25
SJ1,14900.0,14900.0,14900.0,14900.0,0.0,2022-11-25
SJE,25500.0,25500.0,25500.0,25500.0,100.0,2022-11-25
SLS,112600.0,122000.0,112600.0,122000.0,1700.0,2022-11-25
SMN,12500.0,12500.0,12500.0,13600.0,1600.0,2022-11-25
SMT,6900.0,6900.0,6900.0,7000.0,4000.0,2022-11-25
SPC,15100.0,15100.0,15100.0,15100.0,0.0,2022-11-25
SPI,2700.0,2800.0,2700.0,2800.0,8500.0,2022-11-25
SRA,3100.0,3100.0,3000.0,3200.0,98100.0,2022-11-25
SSM,3100.0,3100.0,3100.0,3100.0,0.0,2022-11-25
STC,20000.0,20000.0,20000.0,20000.0,0.0,2022-11-25
STP,7000.0,7000.0,7000.0,7000.0,200.0,2022-11-25
SVN,4300.0,4500.0,4200.0,4500.0,3200.0,2022-11-25
SZB,26100.0,26200.0,26100.0,26300.0,12300.0,2022-11-25
TA9,10700.0,10700.0,10700.0,10700.0,1900.0,2022-11-25
TAR,9000.0,8900.0,8200.0,9300.0,562800.0,2022-11-25
TBX,22300.0,22300.0,22300.0,22300.0,0.0,2022-11-25
TC6,4400.0,4200.0,4100.0,4400.0,70100.0,2022-11-25
TDN,7200.0,7100.0,6900.0,7200.0,3700.0,2022-11-25
TDT,7900.0,6900.0,6700.0,7900.0,78700.0,2022-11-25
TET,30900.0,30900.0,30900.0,30900.0,0.0,2022-11-25
TFC,6000.0,6000.0,6000.0,6000.0,200.0,2022-11-25
THB,12000.0,12000.0,12000.0,12000.0,1000.0,2022-11-25
THD,40700.0,40600.0,40400.0,40700.0,4500.0,2022-11-25
THS,20300.0,20300.0,20300.0,20300.0,0.0,2022-11-25
THT,7800.0,8000.0,7800.0,8000.0,14700.0,2022-11-25
TIG,5900.0,6300.0,5800.0,6300.0,1142300.0,2022-11-25
TJC,20300.0,20300.0,20300.0,20300.0,0.0,2022-11-25
TKC,2500.0,2500.0,2500.0,2600.0,203800.0,2022-11-25
TKG,13500.0,13300.0,12600.0,13500.0,306900.0,2022-11-25
TKU,11500.0,11500.0,11500.0,11500.0,500.0,2022-11-25
TMB,19200.0,19200.0,19200.0,19200.0,100.0,2022-11-25
TMC,12000.0,12000.0,12000.0,12000.0,0.0,2022-11-25
TMX,8100.0,8100.0,8100.0,8100.0,1000.0,2022-11-25
TN1,18600.0,18600.0,18600.0,18600.0,200.0,2022-11-25
TNG,11900.0,12500.0,11500.0,12600.0,1670400.0,2022-11-25
TNG,11900.0,12500.0,11500.0,12600.0,1670400.0,2022-11-25
TOT,11400.0,11400.0,11400.0,11400.0,0.0,2022-11-25
TPH,13200.0,13200.0,13200.0,13200.0,0.0,2022-11-25
TPP,10500.0,10500.0,10500.0,10500.0,700.0,2022-11-25
TSB,9000.0,9000.0,9000.0,9000.0,0.0,2022-11-25
TTC,11900.0,11900.0,11900.0,11900.0,0.0,2022-11-25
TTH,2000.0,1800.0,1800.0,2000.0,465300.0,2022-11-25
TTL,9000.0,9000.0,9000.0,9000.0,0.0,2022-11-25
TTT,44200.0,44200.0,44200.0,44200.0,0.0,2022-11-25
TTZ,2100.0,2100.0,2100.0,2100.0,0.0,2022-11-25
TV3,19400.0,19400.0,19400.0,19400.0,100.0,2022-11-25
TV4,13800.0,13300.0,13200.0,13800.0,28400.0,2022-11-25
TVC,4000.0,4200.0,4000.0,4200.0,370900.0,2022-11-25
TVD,7400.0,7600.0,7100.0,7700.0,102300.0,2022-11-25
TXM,3600.0,3800.0,3600.0,3800.0,300.0,2022-11-25
UNI,8300.0,8900.0,7900.0,8900.0,9900.0,2022-11-25
V12,11700.0,11700.0,11700.0,12800.0,9600.0,2022-11-25
V21,3900.0,3900.0,3600.0,3900.0,3800.0,2022-11-25
VBC,20000.0,20000.0,20000.0,20000.0,0.0,2022-11-25
VC1,8100.0,8100.0,8100.0,8100.0,0.0,2022-11-25
VC2,7400.0,7300.0,7300.0,7500.0,443600.0,2022-11-25
VC3,28600.0,28700.0,26800.0,28700.0,257600.0,2022-11-25
VC6,7500.0,7500.0,7500.0,7500.0,0.0,2022-11-25
